transaction_id,timestamp,amount,transaction_type,merchant_category,country,device_risk_score,ip_risk_score,is_fraud
TXN105081,2025-06-01 00:00:06,17.75,WIRE_TRANSFER,travel,US,0.3468,0.0891,0
TXN149754,2025-06-01 00:00:23,54.95,ONLINE,restaurant,GB,0.1831,0.2202,0
TXN120429,2025-06-01 00:01:42,38.01,ATM_WITHDRAWAL,utilities,US,0.3606,0.1831,0
TXN137948,2025-06-01 00:02:29,134.6,ATM_WITHDRAWAL,fuel,GB,0.1331,0.2036,0
TXN127672,2025-06-01 00:05:33,27.92,ONLINE,fuel,US,0.1191,0.169,0
TXN132403,2025-06-01 00:06:33,51.11,ONLINE,grocery,RU,0.2868,0.0653,0
TXN138090,2025-06-01 00:14:05,7.35,POS,electronics,US,0.0765,0.195,0
TXN124970,2025-06-01 00:16:11,65.4,POS,grocery,GB,0.3676,0.137,0
TXN146311,2025-06-01 00:22:11,23.14,POS,grocery,US,0.1267,0.134,0
TXN147048,2025-06-01 00:24:34,119.2,ONLINE,grocery,US,0.0136,0.1444,0
TXN126391,2025-06-01 00:25:38,72.5,ONLINE,restaurant,US,0.0643,0.0926,0
TXN129531,2025-06-01 00:33:57,6.48,BILL_PAYMENT,online_retail,FR,0.1372,0.0605,0
TXN123809,2025-06-01 00:34:56,67.76,WIRE_TRANSFER,fuel,US,0.1078,0.0892,0
TXN147004,2025-06-01 00:37:57,830.84,WIRE_TRANSFER,restaurant,GB,0.0558,0.0063,0
TXN110961,2025-06-01 00:40:44,46.2,ONLINE,utilities,GB,0.0761,0.1882,0
TXN120044,2025-06-01 00:42:02,368.51,ATM_WITHDRAWAL,electronics,NG,0.0539,0.111,0
TXN140169,2025-06-01 00:45:11,2.73,WIRE_TRANSFER,utilities,US,0.1177,0.0816,0
TXN118687,2025-06-01 00:50:12,399.61,POS,restaurant,GB,0.2932,0.1259,0
TXN108281,2025-06-01 00:53:47,125.1,ONLINE,grocery,GB,0.1152,0.0184,0
TXN112236,2025-06-01 00:54:01,24.59,POS,grocery,DE,0.0447,0.2749,0
TXN144369,2025-06-01 00:55:27,52.69,ATM_WITHDRAWAL,online_retail,US,0.1729,0.2721,0
TXN120383,2025-06-01 00:58:15,159.6,POS,electronics,CA,0.0756,0.213,0
TXN149268,2025-06-01 01:00:38,15.01,WIRE_TRANSFER,fuel,IN,0.128,0.1303,0
TXN120224,2025-06-01 01:03:14,34.5,POS,travel,US,0.1055,0.225,0
TXN102315,2025-06-01 01:07:13,132.81,ONLINE,online_retail,FR,0.2346,0.0458,0
TXN136052,2025-06-01 01:11:49,2.04,ATM_WITHDRAWAL,fuel,US,0.1966,0.0895,0
TXN143533,2025-06-01 01:12:17,19.33,ATM_WITHDRAWAL,travel,US,0.3272,0.3779,0
TXN103672,2025-06-01 01:13:37,33.37,POS,grocery,US,0.17,0.031,0
TXN119727,2025-06-01 01:14:00,17.66,ONLINE,grocery,DE,0.1008,0.1791,0
TXN126494,2025-06-01 01:15:24,85.08,POS,fuel,CN,0.3551,0.1642,0
TXN145451,2025-06-01 01:21:16,17.37,POS,grocery,DE,0.2833,0.4962,0
TXN107004,2025-06-01 01:23:14,12.93,BILL_PAYMENT,grocery,US,0.0115,0.2551,0
TXN131796,2025-06-01 01:24:01,45.28,POS,grocery,AU,0.1193,0.083,0
TXN138636,2025-06-01 01:28:39,135.65,BILL_PAYMENT,restaurant,US,0.0613,0.1462,0
TXN127969,2025-06-01 01:29:26,25.18,POS,online_retail,CN,0.0076,0.2182,0
TXN130422,2025-06-01 01:29:35,33.45,POS,grocery,US,0.1665,0.0865,0
TXN141186,2025-06-01 01:31:12,65.87,ONLINE,travel,AU,0.063,0.1642,0
TXN121987,2025-06-01 01:31:51,21.82,ONLINE,online_retail,GB,0.0833,0.2476,0
TXN119056,2025-06-01 01:33:48,286.24,WIRE_TRANSFER,restaurant,US,0.0723,0.1359,0
TXN142047,2025-06-01 01:35:33,22.35,POS,utilities,IN,0.4104,0.1325,0
TXN134142,2025-06-01 01:44:20,7.72,ATM_WITHDRAWAL,jewelry,CA,0.1309,0.0128,0
TXN131449,2025-06-01 01:46:48,48.81,POS,utilities,US,0.1528,0.0537,0
TXN106300,2025-06-01 01:46:52,437.48,ONLINE,online_retail,US,0.0032,0.013,0
TXN109282,2025-06-01 02:00:01,58.7,POS,jewelry,US,0.0556,0.3527,0
TXN114057,2025-06-01 02:03:48,5.15,ONLINE,cash_advance,US,0.3164,0.132,0
TXN120322,2025-06-01 02:06:23,19.62,POS,utilities,GB,0.0208,0.2906,0
TXN105758,2025-06-01 02:08:18,209.48,POS,online_retail,IN,0.1604,0.1748,0
TXN106904,2025-06-01 02:08:37,50.34,ONLINE,restaurant,IN,0.213,0.1024,0
TXN121346,2025-06-01 02:13:50,130.29,WIRE_TRANSFER,online_retail,FR,0.0271,0.0249,0
TXN121830,2025-06-01 02:14:32,7.55,ONLINE,restaurant,CA,0.0822,0.1578,0
TXN111077,2025-06-01 02:16:20,10.58,POS,fuel,CA,0.0444,0.1055,0
TXN102441,2025-06-01 02:18:20,40.3,WIRE_TRANSFER,online_retail,DE,0.064,0.158,0
TXN116064,2025-06-01 02:21:31,7.03,POS,fuel,US,0.1955,0.2174,0
TXN135811,2025-06-01 02:24:57,7.92,POS,utilities,IN,0.0101,0.1644,0
TXN131404,2025-06-01 02:27:50,10.58,BILL_PAYMENT,restaurant,US,0.1911,0.2242,0
TXN135715,2025-06-01 02:30:04,154.02,ONLINE,online_retail,US,0.2366,0.116,0
TXN134671,2025-06-01 02:34:17,6.5,POS,fuel,DE,0.0259,0.096,0
TXN101487,2025-06-01 02:39:48,21.4,ONLINE,restaurant,BR,0.0428,0.2042,0
TXN102258,2025-06-01 02:41:39,70.81,ONLINE,grocery,DE,0.1536,0.0691,0
TXN120095,2025-06-01 02:45:04,172.01,POS,restaurant,IN,0.0232,0.3858,0
TXN137507,2025-06-01 02:45:55,18.7,POS,online_retail,AU,0.1094,0.2577,0
TXN114013,2025-06-01 02:47:10,283.05,POS,online_retail,IN,0.0405,0.1356,0
TXN136227,2025-06-01 02:49:35,27.77,POS,grocery,GB,0.0182,0.0769,0
TXN128808,2025-06-01 02:50:43,124.65,ONLINE,fuel,US,0.2167,0.055,0
TXN128078,2025-06-01 02:50:44,25.48,BILL_PAYMENT,fuel,FR,0.0427,0.1583,0
TXN134681,2025-06-01 02:50:49,22.09,POS,restaurant,CA,0.0088,0.0925,0
TXN133694,2025-06-01 02:53:39,2.97,WIRE_TRANSFER,grocery,US,0.1622,0.0812,0
TXN118671,2025-06-01 02:54:29,39.33,ONLINE,utilities,GB,0.1296,0.1824,0
TXN115469,2025-06-01 02:54:30,13.25,WIRE_TRANSFER,fuel,US,0.0271,0.1235,0
TXN107361,2025-06-01 02:54:58,2.36,POS,grocery,DE,0.0967,0.2074,0
TXN137981,2025-06-01 02:55:02,3.79,POS,restaurant,US,0.0322,0.1369,0
TXN126352,2025-06-01 02:55:42,19.77,POS,fuel,US,0.1726,0.3128,0
TXN133819,2025-06-01 02:57:30,19.84,WIRE_TRANSFER,online_retail,FR,0.1794,0.0129,0
TXN147559,2025-06-01 03:03:02,55.63,POS,electronics,US,0.036,0.2319,0
TXN147651,2025-06-01 03:03:24,58.18,ONLINE,travel,IN,0.0832,0.1633,0
TXN145855,2025-06-01 03:03:52,26.03,ONLINE,fuel,US,0.1325,0.0592,0
TXN142384,2025-06-01 03:09:15,21.14,ATM_WITHDRAWAL,fuel,GB,0.1725,0.058,0
TXN144293,2025-06-01 03:10:56,97.45,BILL_PAYMENT,travel,DE,0.3937,0.1868,0
TXN125821,2025-06-01 03:12:21,23.44,POS,restaurant,BR,0.111,0.0564,0
TXN147673,2025-06-01 03:13:29,156.67,WIRE_TRANSFER,utilities,IN,0.0999,0.1612,0
TXN141219,2025-06-01 03:14:20,719.45,POS,electronics,GB,0.0908,0.2526,0
